DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-miR-23a-3p	1138.9055166563	1204.48677217532	1207.20322832019	1207.02166839121	1121.08563378897	490.71568927382	917.913314227026	483.0739492603	1120.58118246012	557.335855320909	829.837235445082	665.21475033012	1031.76404538345
hsa-miR-199b-5p	1127.1650872084	1917.9412703526	1366.29136210407	855.6680940288	961.700875752375	357.192943150858	865.505165303905	273.447347294702	1160.99500840096	527.867211988394	764.763253762019	62.6969604458171	1303.00999594407
hsa-miR-30c-5p	1841.06705785084	365.353344184446	1168.58710973218	1847.40293940263	1634.29003686192	436.235273292141	645.082656597835	630.843521137688	443.319419634374	307.933805098479	557.447913886773	1318.72606804369	547.83330007606
hsa-miR-574-3p	1478.7909491729	1022.6836287004	929.098675828245	1373.75670876982	1052.85195077786	740.51558221619	1164.28299470386	221.163429005859	344.618114885589	420.266110645818	814.144615968414	737.525244710962	608.336782782563
hsa-miR-19b-3p	626.100330414248	1134.05852740576	562.716477517577	801.789313294862	1190.66739868328	713.863292383426	894.620803594528	2253.60870333273	411.534253698325	1044.51471114835	1939.98208667982	594.576174894499	788.390485732574
hsa-miR-142-5p	1196.68520158201	1231.3477771572	294.287360503334	346.711476022342	846.906518467721	142.014897295166	677.281127178053	348.559455258956	2026.85462561734	449.19404492636	272.245352572285	186.41896239223	1350.30565578045
hsa-miR-342-3p	1093.1178418095	700.023995686337	561.77462096665	1196.51987214646	1119.21905887377	569.627370935531	630.696105913056	552.049447096755	691.701561201121	417.968097174933	286.354313202684	667.095659143494	1189.09252368929
hsa-miR-30a-3p	1345.7886555703	142.27597354224	923.190666554247	1438.36558566687	1481.02349660291	256.985559318851	695.521218224826	1021.13192526567	404.490449612774	181.54306419985	216.817292952862	1330.22051079209	412.355999312701
hsa-miR-92b-3p	583.918644612163	1042.5564047439	746.977868208055	1068.51971791697	1109.36769126579	1048.97664248655	354.782615994269	196.616988494665	1053.13675834096	284.142606811679	502.163823253374	189.135830678215	556.962236471583
hsa-miR-130a-3p	881.286950485311	391.995967012003	963.348004952869	792.885616478661	803.975295418176	398.347214216154	321.042729269253	697.118910517913	795.333528809792	133.555135837268	446.303856675877	1542.13623709895	525.59365715505
